x,y,z
-5.556,1.641,91.236
-5.899,1.652,91.098
-6.274,1.602,90.924
-6.655,1.533,90.68
-7.104,1.305,90.879
-7.483,0.903,91.133
-7.677,0.186,91.199
-7.609,-0.787,91.143
-7.622,-1.479,91.185
-7.664,-2.047,91.022
-7.623,-2.821,90.856
-7.692,-3.435,90.339
-7.723,-3.979,90.032
-7.716,-4.357,89.793
-7.822,-4.401,89.443
-8.058,-4.146,89.453
-8.011,-3.761,89.464
-7.83,-3.267,89.518
-7.721,-2.791,89.759
-7.586,-2.136,90.07
-7.304,-1.421,90.334
-6.929,-0.918,90.377
-6.569,-0.757,90.552
-6.187,-0.703,90.494
-5.855,-0.745,90.363
-5.739,-0.984,90.138
-5.817,-1.263,90.006
-6.076,-1.543,89.881
-6.281,-1.661,89.704
-6.395,-1.846,89.409
-6.483,-1.877,89.578
-6.726,-1.705,89.697
-6.983,-1.563,89.737
-7.138,-1.467,89.862
-7.194,-1.426,90.066
-7.063,-1.219,89.942
-6.724,-0.946,89.966
-6.373,-0.822,89.801
-6.126,-0.731,89.77
-5.82,-0.606,89.936
-6.034,-0.407,89.969
-6.518,-0.391,90.002
-6.865,-0.403,90.249
-7.155,-0.316,90.262
-7.572,-0.254,89.828
-7.895,-0.173,89.83
-8.113,-0.048,89.678
-8.239,0.255,89.626
-8.26,0.596,89.731
-8.113,0.789,89.951
-7.784,0.874,89.796
-7.455,0.913,89.539
-7.113,0.918,89.244
-6.758,0.727,88.639
-6.578,0.42,88.055
-6.639,0.188,88.12
-6.883,0.013,87.93
-7.069,-0.148,87.656
-7.256,-0.159,87.614
-7.293,-0.234,87.166
-7.759,-0.286,87.206
-8.123,-0.377,87.495
-8.347,-0.423,88.153
-8.715,-0.504,88.396
-9.158,-0.517,88.597
-9.415,-0.437,88.763
-9.622,-0.345,88.641
-9.852,-0.214,88.671
-10.145,-0.199,88.862
-10.187,-0.46,89.096
-10.525,-0.641,89.241
-10.768,-1.133,89.364
-11.062,-1.551,89.414
-11.469,-1.713,89.487
-11.762,-1.726,89.301
-12.179,-1.963,89.107
-12.552,-1.952,88.733
-12.879,-1.936,88.888
-12.918,-1.873,88.893
-13.653,-1.805,88.853
-14.001,-1.884,88.92
-14.219,-2.121,88.836
-14.599,-2.549,88.886
-14.902,-2.893,88.338
-15.136,-3.186,88.057
-15.305,-3.442,88.026
-15.359,-3.905,87.853
-15.352,-4.118,88.049
-14.918,-4.065,88.242
-14.616,-3.908,88.355
-14.504,-3.596,88.298
-14.634,-3.269,88.615
-14.719,-2.972,88.8
-14.763,-2.685,89.149
-14.787,-2.455,89.647
-14.642,-2.154,89.588
-14.618,-1.988,89.729
-14.094,-1.729,89.677
-13.831,-1.411,89.727
-13.831,-1.197,89.854
-13.839,-1.188,89.854
-13.839,-1.188,89.854
-14.209,-0.766,90.416
-14.281,-0.677,90.762
-14.591,-0.455,90.819
-14.307,-0.234,90.693
-13.792,-0.271,90.713
-13.342,-0.464,90.952
-12.891,-0.652,91.075
-12.374,-0.691,91.317
