x,y,z
-4.011,-14.59,99.273
-3.606,-14.624,99.049
-3.261,-14.605,98.657
-3.206,-14.482,98.546
-2.464,-14.152,98.434
-2.019,-13.91,98.372
-1.772,-13.675,98.256
-1.839,-13.595,97.856
-2.18,-13.741,97.465
-2.368,-13.853,97.247
-2.42,-13.821,97.054
-2.426,-13.756,97.078
-2.423,-13.834,96.959
-2.23,-13.811,96.942
-1.96,-13.786,97.149
-1.474,-13.67,97.355
-1.157,-13.687,97.473
-1.272,-13.934,97.578
-1.314,-14.175,97.468
-1.374,-14.454,97.514
-1.714,-15.003,97.752
-1.749,-15.133,97.832
-1.952,-15.178,97.605
-1.574,-14.986,97.314
-0.573,-14.663,96.966
0.015,-14.513,96.576
0.365,-14.135,96.395
0.681,-13.445,96.206
0.733,-12.279,96.124
0.707,-11.729,96.021
0.682,-11.388,95.891
-0.098,-11.149,95.735
-0.541,-10.778,95.522
-1.188,-10.471,95.433
-1.456,-10.289,95.483
-1.552,-9.865,95.591
-1.706,-9.449,95.598
-2.037,-9.28,95.539
-2.335,-9.469,95.56
-2.345,-9.661,95.541
-2.021,-9.722,95.603
-1.588,-9.578,95.662
-1.221,-9.498,95.997
-0.707,-9.265,96.12
-0.379,-8.996,96.174
-0.407,-8.698,96.094
-0.786,-8.456,95.985
-1.147,-8.456,96.238
-1.467,-8.462,96.063
-1.968,-8.571,96.277
-2.27,-8.68,96.149
-2.41,-8.797,96.069
-2.317,-8.955,96.041
-2.358,-9.232,96.14
-2.408,-9.554,96.073
-2.665,-9.881,96.067
-2.496,-9.903,96.107
-2.066,-9.709,96.268
-1.815,-9.299,96.323
-1.726,-8.908,96.15
-1.734,-8.69,96.32
-1.91,-8.563,96.312
-1.931,-8.504,96.55
-1.906,-8.813,96.772
-1.834,-9.183,96.981
-1.756,-9.568,97.37
-1.493,-10.023,97.476
-0.994,-10.414,97.738
-0.627,-10.74,97.813
-0.276,-11.077,97.885
0.131,-11.512,98.04
0.432,-11.948,98.093
0.671,-12.383,97.972
0.911,-12.706,97.835
1.294,-12.802,97.796
1.467,-12.781,97.919
1.46,-12.79,97.996
1.27,-12.767,98.13
1.027,-12.833,98.236
0.861,-12.873,98.208
1.04,-13.044,98.238
1.493,-13.008,98.328
