x,y,z
-7.952,0.054,92.519
-8.193,0.2,92.456
-8.425,0.179,92.425
-8.197,0.528,92.115
-7.721,0.953,91.781
-7.024,1.085,91.551
-6.155,1.075,91.006
-5.626,1.057,90.497
-4.959,1.129,90.088
-3.797,1.162,89.714
-2.825,0.974,89.57
-2.307,0.827,89.572
-2.271,0.837,89.352
-0.933,0.799,89.34
-0.287,0.765,89.3
-0.057,0.668,89.287
0.01,0.369,89.276
-0.327,0.204,89.221
-0.975,0.161,89.434
-1.804,0.097,89.337
-2.25,0.011,89.276
-2.642,-0.244,89.324
-3.111,-0.693,89.511
-3.196,-0.981,89.458
-4.141,-0.996,89.537
-4.207,-0.985,89.598
-4.749,-1.2,89.698
-4.974,-1.599,89.511
-5.145,-1.746,89.318
-5.18,-1.842,89.143
-4.935,-1.721,88.978
-4.53,-1.815,88.826
-4.059,-2.012,88.824
-3.601,-2.152,88.916
-3.128,-1.957,88.931
-2.566,-1.731,88.887
-2.18,-1.892,88.866
-1.837,-2.19,89.111
-1.582,-2.433,89.481
-1.266,-2.61,89.615
-1.02,-2.813,89.756
-0.821,-2.912,89.693
-0.839,-2.498,89.914
-1.028,-1.87,89.936
-1.251,-1.273,89.965
-1.873,-0.615,90.043
-2.492,-0.08,89.898
-3.178,0.361,89.561
-3.281,0.422,89.561
-4.279,1.103,88.767
-4.813,1.399,88.499
-5.355,1.734,88.1
-5.645,2.146,87.72
-5.869,2.475,87.355
-6.045,2.761,87.159
-6.181,2.951,87.189
-6.507,2.978,87.347
-6.707,2.705,87.506
-6.711,2.224,88.098
-6.77,1.595,88.982
-6.721,0.975,89.682
-6.716,0.373,90.475
-6.795,-0.237,91.32
-6.775,-0.824,92.097
